1 xplmin   xplmax   zplmax   arad   x-zero   xmagax   xmaj  xzmax  xatpi  xofset  a-ratio
   0.300000000E+01   0.500000000E+01   0.100000000E+01   0.100000000E+01   0.400000000E+01   0.405539672E+01   0.400000000E+01   0.400000000E+01   0.300000000E+01   0.000000000E+00   0.400000000E+01
     2    3  -0.272743345E+00   0.406099948E+01   0.000000000E+00   0.000000000E+00   0.890141813E-12   0.349983271E+00  -0.198188209E-02  -0.353364877E+00  -0.890141813E-12
     2    4  -0.272743345E+00   0.406099673E+01   0.176463211E-03   0.617595763E-04  -0.144847441E-04   0.349984148E+00  -0.198091033E-02  -0.353365267E+00  -0.723251000E-06
     2    5  -0.272743345E+00   0.406098848E+01   0.352755017E-03   0.123459410E-03  -0.289412666E-04   0.349984296E+00  -0.197799596E-02  -0.353366437E+00  -0.146007395E-05
     2    6  -0.272743345E+00   0.406097474E+01   0.528704161E-03   0.185039677E-03  -0.433580368E-04   0.349984692E+00  -0.197314170E-02  -0.353368385E+00  -0.220732954E-05
     2    7  -0.272743345E+00   0.406095553E+01   0.704139675E-03   0.246440732E-03  -0.577153613E-04   0.349985284E+00  -0.196635210E-02  -0.353371110E+00  -0.297008482E-05
     2    8  -0.272743345E+00   0.406093085E+01   0.878891026E-03   0.307603077E-03  -0.719945138E-04   0.349986068E+00  -0.195763349E-02  -0.353374607E+00  -0.375247483E-05
     2    9  -0.272743345E+00   0.406090074E+01   0.105278826E-02   0.368467412E-03  -0.861738739E-04   0.349987025E+00  -0.194699403E-02  -0.353378873E+00  -0.456157632E-05
     2   10  -0.272743345E+00   0.406086523E+01   0.122566217E-02   0.428974684E-03  -0.100235422E-03   0.349988164E+00  -0.193444369E-02  -0.353383904E+00  -0.540092547E-05
     2   11  -0.272743345E+00   0.406082434E+01   0.139734438E-02   0.489066144E-03  -0.114157471E-03   0.349989475E+00  -0.191999422E-02  -0.353389694E+00  -0.627779621E-05
     2   12  -0.272743345E+00   0.406077811E+01   0.156766759E-02   0.548683390E-03  -0.127919703E-03   0.349990959E+00  -0.190365916E-02  -0.353396235E+00  -0.719818142E-05
     2   13  -0.272743345E+00   0.406072659E+01   0.173646561E-02   0.607768424E-03  -0.141504018E-03   0.349992621E+00  -0.188545386E-02  -0.353403520E+00  -0.816594911E-05
     2   14  -0.272743345E+00   0.406066983E+01   0.190357360E-02   0.666263698E-03  -0.154889889E-03   0.349994458E+00  -0.186539541E-02  -0.353411540E+00  -0.918750463E-05
     2   15  -0.272743345E+00   0.406060788E+01   0.206882818E-02   0.724112169E-03  -0.168058317E-03   0.349996473E+00  -0.184350269E-02  -0.353420285E+00  -0.102678472E-04
     2   16  -0.272743345E+00   0.406054080E+01   0.223206757E-02   0.781257347E-03  -0.180987557E-03   0.349998660E+00  -0.181979633E-02  -0.353429745E+00  -0.114148521E-04
     2   17  -0.272743345E+00   0.406046866E+01   0.239313173E-02   0.837643347E-03  -0.193658917E-03   0.350001024E+00  -0.179429868E-02  -0.353439906E+00  -0.126334923E-04
     2   18  -0.272743345E+00   0.406039151E+01   0.255186255E-02   0.893214939E-03  -0.206058682E-03   0.350003575E+00  -0.176703385E-02  -0.353450760E+00  -0.139239184E-04
     2   19  -0.272743345E+00   0.406030944E+01   0.270810397E-02   0.947917605E-03  -0.218158958E-03   0.350006298E+00  -0.173802765E-02  -0.353462286E+00  -0.153006301E-04
     2   20  -0.272743345E+00   0.406022252E+01   0.286170212E-02   0.100169758E-02  -0.229946738E-03   0.350009206E+00  -0.170730756E-02  -0.353474473E+00  -0.167634261E-04
     2   21  -0.272743345E+00   0.406013084E+01   0.301250549E-02   0.105450191E-02  -0.241405160E-03   0.350012302E+00  -0.167490279E-02  -0.353487305E+00  -0.183161545E-04
     2   22  -0.272743345E+00   0.406003449E+01   0.316036507E-02   0.110627852E-02  -0.252513302E-03   0.350015582E+00  -0.164084415E-02  -0.353500762E+00  -0.199669306E-04
     2   23  -0.272743345E+00   0.405993355E+01   0.330513448E-02   0.115697621E-02  -0.263251079E-03   0.350019048E+00  -0.160516413E-02  -0.353514824E+00  -0.217232531E-04
